Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price
14038,35,2.0,47.981561235175036,29.442750547134157,6.0,7,9.0,1969,0.089039719,B,B,33,7976,5,,0,11,B,184966.9307298416
15053,41,3.0,65.68363987232782,40.04954252356545,8.0,7,9.0,1978,6.99893e-05,B,B,46,10309,1,240.0,1,16,B,300009.4500627274
4765,53,2.0,44.947952764125,29.197611688048198,0.0,8,12.0,1968,0.049637257000000004,B,B,34,7759,0,229.0,1,3,B,220925.90852358093
5809,58,2.0,53.35298135561334,52.731512048635025,9.0,8,17.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B,175616.22721724625
10783,99,1.0,39.649191950029994,23.7761691108976,7.0,11,12.0,1976,0.012338886,B,B,35,5776,1,2078.0,2,4,B,150226.5316437466
12915,59,3.0,80.38447920267191,46.68372012823429,12.0,5,17.0,2011,0.309479124,B,B,35,7715,4,990.0,0,6,B,215898.44774214897
14549,154,2.0,62.2541135864025,37.16037741888674,7.0,3,5.0,1960,0.460556389,B,B,20,4386,14,,1,5,B,296021.2043771131
11993,74,2.0,80.31292563185586,,0.0,14,0.0,1977,0.075778755,B,B,6,1437,3,,0,2,B,221244.15666358554
5172,1,2.0,64.51143730838427,,1.0,9,17.0,1977,0.0071223169999999995,B,B,1,264,0,,0,1,B,229102.79599941307
8649,23,1.0,46.46140869718414,18.915552483878766,8.0,13,17.0,2014,0.075778755,B,B,6,1437,3,,0,2,B,95380.22099316983
15370,28,2.0,46.304906773325854,27.922584447134263,6.0,8,9.0,1973,0.118537385,B,B,30,6207,1,1183.0,1,0,B,204243.55312879704
12427,31,3.0,68.80885909839964,45.73690563942196,7.0,1,8.0,1959,0.0,B,B,23,3684,2,,0,4,B,165534.5414246522
6452,13,2.0,54.522804902937104,31.75975305618809,1.0,8,12.0,1999,0.090799103,B,B,74,19083,2,,5,15,B,229220.37260914012
2408,57,3.0,68.10273923286483,39.3114930561345,8.0,6,12.0,1980,0.13321533300000002,B,B,49,11395,3,1406.0,3,4,A,252481.90832262477
10953,27,1.0,53.76909713652528,52.40802696611313,1.0,5,4.0,1977,0.072157581,B,B,2,629,1,,0,0,A,140647.56593684404
2823,85,3.0,73.6122247317727,53.89208948435271,6.0,4,9.0,1979,0.037177818,B,B,52,11217,1,2300.0,1,7,B,89084.32787608178
2119,27,2.0,49.360647800323534,31.993963547007418,5.0,6,5.0,1983,0.051815435,B,B,5,1227,0,,0,0,B,117000.381286696
3000,34,2.0,57.96996422253015,32.01248263525128,9.0,6,14.0,2001,0.069753361,B,B,53,13670,4,,1,11,B,231828.43766693235
2829,57,1.0,44.513480812566684,23.1134231345738,8.0,6,12.0,1983,0.13321533300000002,B,B,49,11395,3,1406.0,3,4,A,183743.23046424173
4909,19,3.0,110.95979224728354,56.996764901321505,11.0,16,25.0,2012,0.000991363,B,B,33,6783,3,,1,9,B,394895.3259868009
8862,0,3.0,103.60529197422831,47.79942626246952,10.0,12,17.0,2002,0.319809354,B,B,25,4756,16,2857.0,5,8,B,521919.0573998705
11935,27,2.0,64.71183493873933,,1.0,15,1.0,1977,0.21140121399999998,B,B,9,1892,0,,0,1,B,127200.02651097004
11852,48,1.0,41.66864965650633,20.207761889892915,10.0,19,22.0,1996,0.041124634,B,B,46,9515,5,,1,10,B,215083.96905610108
6641,54,3.0,118.90761184257369,,0.0,2,0.0,1977,0.006076152,B,B,30,5285,0,645.0,6,6,B,571069.0526003882
7704,150,3.0,62.18053598937177,44.16969407540736,5.0,4,5.0,1964,0.020741326,B,B,24,5613,5,1340.0,2,5,B,241718.09952662926
